name,lat,lng
"Beirut, Lebanon",33.8938,35.5018
"Tripoli, Lebanon",34.4367,35.8497
"Sidon, Lebanon",33.5575,35.3711
"Tyre, Lebanon",33.27,35.2033
"Zahlé, Lebanon",33.8467,35.9011
"Damascus, Syria",33.5138,36.2765
"Aleppo, Syria",36.2021,37.1343
"Homs, Syria",34.7308,36.709
"Hama, Syria",35.1318,36.7578
"Latakia, Syria",35.5236,35.7917
"Amman, Jordan",31.9539,35.9106
"Zarqa, Jordan",32.0728,36.087
"Irbid, Jordan",32.5556,35.85
"Aqaba, Jordan",29.532,35.0063
Jerusalem,31.7683,35.2137
Tel Aviv-Yafo,32.0853,34.7818
Haifa,32.794,34.9896
Nazareth,32.6996,35.3035
Hebron,31.5326,35.0998
Gaza City,31.5204,34.4531
Ramallah,31.9026,35.1956
Nablus,32.2211,35.2544
"Baghdad, Iraq",33.3152,44.3661
"Basra, Iraq",30.5081,47.7835
"Mosul, Iraq",36.3456,43.1575
"Erbil, Iraq",36.1911,44.0094
"Kirkuk, Iraq",35.4681,44.3922
"Najaf, Iraq",32.0121,44.331
"Karbala, Iraq",32.6167,44.0333
"Sulaymaniyah, Iraq",35.5613,45.4309
"Diyarbakır, Turkey",37.9144,40.2306
"Gaziantep, Turkey",37.0662,37.3833
"Şanlıurfa, Turkey",37.1674,38.7955
"Mardin, Turkey",37.3123,40.735
"Antakya (Hatay), Turkey",36.2066,36.1572
"Adana, Turkey",37.0,35.3213
